tag,aNCSS,aCC,aFunctions,sNCSS,sCCN,sFunctions
2.0.5,228.01868340388265,51.64224200846592,6.088016347978398,1562156,353801,41709
2.0,225.87412587412587,51.65929419417792,5.731663685152057,1388900,317653,35244
2.1.0,231.7679837892604,52.26241134751773,6.136343899261832,1601285,361081,42396
2.1.5,230.3713520372198,51.89665867756944,6.075567460876921,1634024,368103,43094
2.1.6.1,230.7685405860087,52.01051451002383,6.078227954577317,1646072,370991,43356
2.1.6,230.306743305762,51.883078648534976,6.07233982896397,1642778,370082,43314
2.1.7,230.82359519150123,52.04948280682136,6.077998322616718,1651312,372362,43482
2.2.0,232.20570639668665,50.98826507132996,6.071445006902899,2018332,443190,52773
2.2.1,232.20466827641715,50.967345061515466,6.068529377946418,2019484,443263,52778
2.2.2,231.7972618368511,50.82578436965203,6.049515116942384,2031703,445488,53024
2.2.5,227.1391862955032,50.11563169164882,5.950630502022365,1909332,421272,50021
2.2.6,226.8523544421248,49.94444444444444,5.923335652980747,1955921,430621,51071
2.2.7,228.5492827394725,50.2686256362795,5.951411383618695,1975580,434522,51444
2.2.8,229.50253222836096,50.47007366482504,5.973987108655617,1993918,438484,51902
3.0.0,240.3306734137797,51.16514207862982,6.176235889451148,2469638,525773,63467
3.1.0,241.56030981392277,51.37054878624728,6.27590441107018,2557399,543860,66443
3.2.0,244.5321083538549,51.9935593862474,6.363421102481531,2581770,548948,67185
3.3.0,246.74632906626505,52.06353539156626,6.378953313253012,2621433,553123,67770
3.4.0,247.7155411655874,52.25337650323775,6.410268270120259,2677805,564859,69295
3.5.0,250.1737765466297,52.56251154201293,6.443120960295476,2709382,569252,69779
4.0.0,247.34015325670495,51.619770114942526,6.433716475095785,3227789,673638,83960
4.1.0,252.2178912783752,52.82750896057348,6.555480884109916,3377702,707466,87791
4.1.1,253.0257358378938,52.942464132524776,6.565892619434995,3421414,715888,88784
4.2.0,254.1199734376153,53.03652327897883,6.592046041466834,3444088,718804,89342
4.3.0,254.86428986349117,53.05496659889632,6.614652918966018,3509991,730673,91097
4.4.0,256.8417775869472,53.34800343495062,6.673751252325748,3589107,745485,93259
4.5.0,258.3188457175269,53.36060692002269,6.680516165626773,3643329,752598,94222
4.6.0,258.8387791991101,53.40058398220245,6.657327586206897,3723137,768114,95759
4.6.1,257.5555478980013,53.09793246037216,6.625982081323225,3737131,770451,96143
4.6.2,258.11983128198034,53.24063061817176,6.635942469921173,3732929,769966,95969
4.7.0,261.2390650628759,53.937192454893385,6.701612903225806,3822450,789209,98058
4.8.0,262.5825112408563,54.09529561774377,6.742299174552043,3912742,806074,100467
4.9.0,263.94537067545303,53.92059308072488,6.741878088962109,4005371,818245,102308
4.10.0,266.5694407981097,53.98661065896561,6.754397479653452,4061452,822540,102910
4.11.0,267.25315043318454,54.0145707534786,6.764111315305855,4071869,822966,103058
5.0.0,259.95472327326365,51.93824151863016,6.949143846597832,4053474,809873,108358
5.1.0,260.96579835679256,52.03324629004522,6.995605375453793,4097424,816974,109838
5.2.0,265.1283114632335,52.52593463728645,7.102005446892795,4283413,848609,114740
5.2.1,265.1439712800198,52.52995791037385,7.10231492943798,4283666,848674,114745
5.3.0,270.0261218232207,53.18644967274014,7.29011144525031,4579373,901989,123633
5.4.0,270.2515405833676,53.2096954046599,7.294911673220259,4604816,906640,124298
5.5.0,272.3932124049152,53.4152720889409,7.314101813926273,4655200,912867,124998
6.0.0,268.0331566482463,52.59292883726176,7.325532874703958,4753300,932683,129911
6.1.0,270.57626265451086,52.84456625090889,7.379048045192684,4837633,944808,131930
6.2.0,270.5593602286468,52.70358359898868,7.373419808728152,4922557,958889,134152
6.3.0,272.499619730552,53.011082138200784,7.42948717948718,5016173,975828,136762
6.4.0,272.2477167723219,52.83404964005587,7.415063930374987,5067619,983453,138024
7.0.0,274.0488644871475,52.747441976541054,7.58682305964562,5490569,1056795,152002
7.1.0,275.33543407103423,52.78499193902975,7.617323757877767,5635841,1080456,155919
7.2.0,277.9772023233301,52.94549854791868,7.640900290416264,5743009,1093854,157861
7.3.0,281.55421744785394,53.33195240618527,7.686256563418277,5844784,1107118,159559
7.4.0,284.0091125954198,53.45777671755725,7.709971374045802,5952831,1120475,161601
8.0.0,284.181684981685,53.33429487179488,7.779075091575091,6206528,1164821,169895
8.1.0,285.80109497307814,53.57056241799014,7.839328537170264,6316490,1183963,173257
8.2.0,290.7883529673261,53.8057346076906,7.907623916425872,6541284,1210360,177882
8.3.0,295.2211092320368,53.99700793547548,7.954902215862278,6808094,1245225,183448
8.4.0,297.12049282729504,54.54719338301814,8.004609486063844,6897058,1266204,185811
9.0.0,309.4826317785362,57.6286310200986,9.407508532423208,8161057,1519667,248076
9.1.0,312.51405355494,58.11095106186519,9.571191135734072,8461318,1573354,259140
9.2.0,317.17293939175033,58.9229213320812,9.793794697681138,8781250,1631340,271151
9.3.0,323.0568572542625,59.86033816596363,9.932579490269752,9113757,1688720,280208
10.0.0,323.2392363396972,59.54578670177749,10.15832784726794,9820008,1809001,308610
10.1.0,326.8393284595976,60.40606197839167,10.299378922171185,10103911,1867393,318395
10.2.0,333.96177736777366,59.31134686346864,10.210885608856088,10860437,1928805,332058
10.3.0,334.3873504482727,59.50218781555032,10.23138826841284,10928113,1944591,334372
10.4.0,340.6573502394362,59.500768002891306,10.266090413516851,11310846,1975604,340865
11.0.0,336.7750174849629,60.13713806126731,10.74270527346482,12038023,2149602,383998
11.0.1,336.7869911875787,60.14055112603161,10.742873129108968,12038451,2149724,384004
11.1.0,337.88237354819586,60.61066048667439,11.000161685844404,12538477,2249201,408205
11.2.0,338.90701429948166,61.1158804990493,11.171489594457324,13011657,2346422,428907
11.3.0,341.7288182902383,62.08229084726839,11.408815245248547,13467191,2446601,449610
11.4.0,343.50288728345373,62.98437617178712,11.6396270279729,13741146,2519564,465620
12.0.0,333.1650852445707,60.23140349096813,11.144459102902374,13132035,2374081,439270
12.1.0,333.3584071876755,60.58143509363022,11.378549280988306,13654027,2481355,466054
12.2.0,336.5790732150543,61.681244321170674,11.643728181339965,14076410,2579633,486964
12.3.0,337.13682855303625,61.760985146508354,11.659084948620746,14140530,2590441,489017
12.4.0,338.9937781492316,62.82077355249106,11.935111668291777,14601818,2705942,514093
13.0.0,326.8501457725948,59.17715806819622,11.696336671314487,12892604,2334243,461362
13.1.0,327.89067508380435,59.84460104235484,11.86931415008931,13400564,2445789,485087
13.2.0,332.4829281158586,60.05004076152112,11.967390783100752,13866533,2504447,499112
14.0.0,325.0353212183261,58.85394513344347,11.811131535472462,13969043,2529366,507607
