tag,aNCSS,aCC,aFunctions,sNCSS,sCCN,sFunctions
gcc-2.8.0,235.5133843212237,52.73040152963671,9.594327597195665,739041,165468,30107
gcc-2.8.1,233.42290322580646,52.56354838709677,9.702903225806452,723611,162947,30079
gcc-2.95.0,142.7436790505676,31.679953560371516,6.517156862745098,1106549,245583,50521
gcc-2.95.1,141.6271011119731,31.497672614429792,6.381044737522627,1095344,243603,49351
gcc-2.95.2.1,141.63123868632013,31.50025859839669,6.379881044737522,1095376,243623,49342
gcc-2.95.2,141.64623739332816,31.501680889578484,6.381174036720973,1095492,243634,49352
gcc-2.95.3,249.4622093023256,55.707364341085274,9.665213178294573,1029780,229960,39898
gcc-3.0.0,135.87289992695398,26.93488469164145,5.867995408535949,1302070,258117,56233
gcc-3.0.1,135.90516793178745,26.941873765207447,5.878028491213476,1307000,259100,56529
gcc-3.0.2,135.78434222822136,26.91953068217215,5.8735333817879765,1307739,259262,56568
gcc-3.0.3,135.6683604687338,26.898475578139582,5.8694389712745,1308250,259382,56599
gcc-3.0.4,135.77175714877745,26.923124740986324,5.874222958972234,1310469,259862,56698
gcc-3.1.0,120.15271606057858,25.524712070372722,5.609050512378706,1324924,281461,61851
gcc-3.1.1,119.6720986765103,25.404429638966416,5.593319528225443,1329198,282167,62125
gcc-3.2.0,119.57616608250203,25.377550103352206,5.59072526287409,1330524,282376,62208
gcc-3.2.1,119.14791312896595,25.28867637858611,5.572526588613817,1333146,282955,62351
gcc-3.2.2,118.75322594998666,25.204413989498978,5.556465248731868,1334430,283222,62438
gcc-3.2.3,118.4789356984479,25.143325942350334,5.544124168514412,1335850,283491,62510
gcc-3.3.0,118.99650945002554,25.16771666950451,5.521113570577218,1397733,295620,64851
gcc-3.3.1,118.27255067567567,25.013513513513512,5.496452702702703,1400347,296160,65078
gcc-3.3.2,117.85152177568521,24.925844963847318,5.4848663191525135,1401726,296468,65237
gcc-3.3.3,117.5065706872018,24.854189336235038,5.477274629614129,1403851,296933,65437
gcc-3.3.4,117.20935857869713,24.79489532071065,5.4648427725414965,1405223,297266,65518
gcc-3.3.5,117.17173822426011,24.788245102125885,5.463026260942059,1405475,297335,65529
gcc-3.3.6,117.08594270486343,24.77265156562292,5.4604430379746836,1405968,297470,65569
gcc-3.4.0,103.15521079727286,21.83407541394184,4.962014748852094,1482753,313843,71324
gcc-3.4.1,102.64584341095986,21.723515997512266,4.941538248911616,1485388,314361,71509
gcc-3.4.2,102.40105849199257,21.657502233830503,4.950030929960822,1489833,315095,72018
gcc-3.4.3,101.96760717709903,21.555403369401454,4.9334337761950415,1488931,314752,72038
gcc-3.4.4,101.3236872495075,21.421031179947015,4.904965695265267,1491586,315339,72206
gcc-3.4.5,100.90408921933086,21.333288273065225,4.88807029401825,1492876,315626,72319
gcc-7.4.0,72.41649728697926,13.830237367221054,3.5847399211721664,4097253,782501,202821
gcc-7.5.0,72.24652960815322,13.804568617114743,3.585397996837111,4111550,785618,204045
gcc-8.1.0,71.77817313153587,13.734205338946243,3.5548093949416995,4296785,822157,212798
gcc-8.2.0,71.63974017321786,13.708544303797469,3.550116588940706,4301250,823061,213149
gcc-8.3.0,71.40322286812076,13.668803100313012,3.5455358473692056,4311398,825336,214083
gcc-8.4.0,71.15470984711492,13.626467203682394,3.541706394870952,4328341,828898,215442
gcc-8.5.0,70.98607770961145,13.595321063394683,3.5402699386503067,4339024,831014,216399
gcc-9.1.0,71.84002581498214,13.7758346581876,3.6021187174361313,4563925,875165,228839
gcc-9.2.0,71.77350762663988,13.761753813319942,3.601092210156299,4573695,876954,229476
gcc-9.3.0,71.58436162569117,13.729592952422605,3.595982630970604,4582974,878996,230222
gcc-9.4.0,71.32459051991562,13.683862762129296,3.589573768457625,4598439,882226,231427
gcc-9.5.0,71.20099320843454,13.664505948421231,3.5848945682946827,4602361,883260,231724
gcc-10.1.0,67.4500906704198,12.622959915554713,3.4707012747990365,4984157,932761,256464
gcc-10.2.0,67.36917098445596,12.609428972366148,3.4699238989637307,4992864,934510,257163
gcc-10.3.0,67.05472596874331,12.556666131449369,3.463872832369942,5011402,938435,258876
gcc-10.4.0,66.86658060394736,12.526317890842305,3.457179360917766,5024288,941215,259769
gcc-11.1.0,66.61889259034929,12.381132646880678,3.4227236018574603,5279414,981180,271244
gcc-11.2.0,66.55290209746217,12.369792518590284,3.4197818236722575,5289425,983114,271794
gcc-11.3.0,66.31127791330456,12.328366798023394,3.4108338024645026,5300592,985468,272645
gcc-12.1.0,64.52108258384916,11.93585524361701,3.360393969276099,5430675,1004629,282841
gcc-12.2.0,64.46733173590188,11.925707575146497,3.3584256601266875,5434725,1005361,283122
gcc-12.3.0,64.3076268884138,11.900780760917069,3.354590661579712,5444348,1007532,284003
