tag,aNCSS,aCC,aFunctions,sNCSS,sCCN,sFunctions
v2.6.12,255.3352793428824,41.67979091711357,8.264612042631185,3761344,613985,121746
v2.6.13,253.1078161822467,41.0990442524221,8.20738413197172,3866475,627829,125376
v2.6.14,255.18123955252668,41.53587501607304,8.315867301015816,3969089,646049,129345
v2.6.15,255.6920936116382,41.64933586337761,8.374509803921569,4042492,658476,132401
v2.6.16,257.79809122459096,41.838435795736245,8.493988596926128,4159830,675105,137059
v2.6.17,257.3912010237036,41.92639083541527,8.552739016513314,4224047,688054,140359
v2.6.18,253.95337829842623,41.7709146846527,8.592533427996687,4292320,706012,145231
v2.6.19,252.8070726691042,41.453439213893965,8.637168647166362,4425135,725601,151185
v2.6.20,253.17342633740225,41.44748832761433,8.68200483771165,4500664,736812,154340
v2.6.21,254.11940546836004,41.53363651489102,8.752038156508236,4582027,748893,157808
v2.6.22,252.07316549465887,41.24418916742713,8.737291319984969,4695871,768338,162767
v2.6.23,253.0474922798424,41.40884889788095,8.848578426152699,4752738,777741,166194
v2.6.24,255.62350007791804,41.77710248818243,8.995584644953508,4921008,804251,173174
v2.6.25,258.3513281486718,41.96040803959196,9.110190889809113,5115873,830900,180400
v2.6.26,258.7955200158935,42.02304559451674,9.181881394655806,5210589,846092,184868
v2.6.27,264.57563275434245,43.13225806451613,9.472059553349876,5331199,869115,190862
v2.6.28,269.29403027980067,43.30964929091606,9.558020314296666,5620705,903959,199495
v2.6.29,275.6276209494418,44.06562585095761,9.640101661069256,6073179,970942,212410
v2.6.30,277.92692257531627,44.64769812633135,9.739512237534235,6393153,1027031,224038
v2.6.31,274.9988354198727,43.91864575968057,9.690221686145655,6611797,1055936,232982
v2.6.32,275.8458096988096,44.26803547175841,9.796157226172406,6905524,1108206,245237
v2.6.33,274.9470411001236,43.94313967861557,9.791756798516689,7117829,1137600,253489
v2.6.34,275.78942006565296,43.95128853337358,9.83888616383051,7309247,1164841,260760
v2.6.35,276.13564703306326,43.97799430698489,9.837311145171885,7566669,1205085,269562
v2.6.36,274.5474408541127,43.73535984109531,9.822651012662718,7740316,1233031,276930
v2.6.37,277.25456932591646,43.898766541132574,9.87530663718343,8024579,1270562,285821
v2.6.38,277.9877416951678,43.84578917070198,9.892790626798956,8209256,1294810,292144
v2.6.39,278.2128983157407,43.9252175639456,9.927963998544058,8407872,1327464,300033
v3.0,280.7516292302094,44.35862913096695,10.053855569155449,8486841,1340917,303918
v3.1,281.40181645299845,44.48913079117348,10.112757795337552,8582474,1356874,308429
v3.2,284.0344704237261,44.882703001528405,10.213716627101558,8734344,1380188,314082
v3.3,285.32761904761907,45.06682808716707,10.224987893462467,8838023,1395945,316719
v3.4,286.451101884382,45.253177898435005,10.249313318428618,8968784,1416877,320906
v3.5,287.8221196408246,45.38371063614519,10.289047679271532,9103238,1435396,325422
v3.6,288.2938372382852,45.456256231306085,10.298354935194416,9253079,1458964,330536
v3.7,287.1822157434402,45.15297011661808,10.250030369290574,9456336,1486797,337513
v3.8,287.9694321832868,45.22859802420202,10.301023931777918,9590246,1506248,343055
v3.9,286.87564782096587,45.0537691401649,10.294228504122495,9742297,1530026,349592
v3.10,288.3256518572469,45.264675892206846,10.345404224326291,9896778,1553710,355106
v3.11,291.09739647337886,45.73230259209511,10.474493441170589,10185789,1600219,366513
v3.12,292.6656145196291,46.056956852577294,10.53448130090466,10384654,1634239,373795
v3.13,294.05554156523687,46.2462855703853,10.587901172388706,10509251,1652796,378401
v3.14,294.8756505217942,46.39193766004901,10.612110031114906,10708999,1684816,385400
v3.15,296.20547498777904,46.5722665797621,10.64689587746456,10906878,1714884,392040
v3.16,296.9086997445206,46.67634798978082,10.664972435121689,11040550,1735660,396577
