tag,aNCSS,aCC,aFunctions,sNCSS,sCCN,sFunctions
v2.6.12-rc2,254.11710544264085,41.49045150729778,8.221456827172283,3725865,608333,120543
v2.6.12-rc3,254.64943468192345,41.5644326386051,8.233891840348726,3738763,610249,120890
v2.6.12-rc4,254.75686327806469,41.57597173144876,8.24096221799402,3749002,611832,121274
v2.6.12-rc5,254.68997352521893,41.5872649514629,8.246419116149616,3751838,612622,121478
v2.6.12-rc6,255.30298710115412,41.67542430414121,8.261778682959946,3760613,613879,121696
v2.6.12,255.33527934288236,41.67979091711357,8.264612042631185,3761344,613985,121746
v2.6.13-rc1,254.19271492308718,41.37344343077845,8.25963907571419,3817212,621305,124035
v2.6.13-rc2,254.15858532036765,41.36805648061809,8.261156254162781,3815937,621100,124033
v2.6.13-rc3,254.09259750596976,41.32687715574423,8.254377819050147,3830700,623044,124443
v2.6.13-rc4,253.0850799056851,41.09863767356563,8.205986376735657,3864103,627494,125289
v2.6.13-rc5,253.0784288052373,41.09479541734861,8.206415711947626,3865773,627723,125353
v2.6.13-rc6,253.10945990180034,41.10225859247136,8.207659574468085,3866247,627837,125372
v2.6.13-rc7,253.1040193768002,41.097669547001836,8.207187745483111,3866417,627808,125373
v2.6.13,253.10781618224667,41.0990442524221,8.20738413197172,3866475,627829,125376
v2.6.14-rc1,254.46542176432712,41.42504829362524,8.29439793947199,3951848,643331,128812
v2.6.14-rc2,254.4939542063288,41.43085927450476,8.298880885001287,3956872,644167,129031
v2.6.14-rc3,255.03852337770917,41.51707505305807,8.312045790726092,3965594,645549,129244
v2.6.14-rc4,255.19360853909464,41.53684413580247,8.315779320987655,3968771,645981,129327
v2.6.14-rc5,255.1867806853983,41.53590947084164,8.316016202661865,3968920,646008,129339
v2.6.14,255.18123955252668,41.535875016073035,8.315867301015816,3969089,646049,129345
v2.6.15-rc1,255.80833966084535,41.61022525942799,8.367438623133385,4042795,657608,132239
v2.6.15-rc2,255.60044275774825,41.62403542061986,8.370398481973435,4041043,658076,132336
v2.6.15-rc3,255.65205566097407,41.635863377609105,8.373181530676787,4041859,658263,132380
v2.6.15-rc4,255.67147375079062,41.639278937381405,8.374256799493992,4042166,658317,132397
v2.6.15-rc5,255.67254901960786,41.64142947501581,8.374446552814675,4042183,658351,132400
v2.6.15-rc6,255.68140417457306,41.646046805819104,8.374320050600886,4042323,658424,132398
v2.6.15-rc7,255.68842504743833,41.648387096774194,8.374446552814675,4042434,658461,132400
v2.6.15,255.6920936116382,41.64933586337761,8.374509803921569,4042492,658476,132401
v2.6.16-rc1,257.4322528564332,41.80383755588674,8.481805762543468,4145689,673209,136591
v2.6.16-rc2,257.6255192510385,41.80184760369521,8.485708971417942,4155242,674222,136866
v2.6.16-rc3,257.72872637124266,41.82472885032538,8.490796405330029,4158453,674842,136999
v2.6.16-rc4,257.79579821517103,41.83837382250868,8.493554784333169,4159793,675104,137052
v2.6.16-rc5,257.7792376820576,41.834521227145956,8.49203594669972,4159268,675000,137019
v2.6.16-rc6,257.8056399132321,41.84016114037806,8.49389525875426,4159694,675091,137049
v2.6.16,257.79809122459096,41.838435795736245,8.493988596926128,4159830,675105,137059
v2.6.17-rc1,258.4559361287177,41.99317406143345,8.55265724037055,4240745,689024,140332
v2.6.17-rc2,257.2199182777337,41.878636335915104,8.543879978044764,4217635,686684,140094
v2.6.17-rc3,257.3045493352848,41.89181607513111,8.547017929015734,4219280,686942,140154
v2.6.17-rc4,257.31520546274845,41.9022680160956,8.549323253261797,4220484,687281,140226
v2.6.17-rc5,257.3719073735527,41.91937842778793,8.551980499695308,4223473,687897,140338
v2.6.17-rc6,257.38090305283043,41.924197184815064,8.552129669124367,4223878,688018,140349
v2.6.17,257.3912010237036,41.92639083541527,8.552739016513314,4224047,688054,140359
v2.6.18-rc1,253.5104277758028,41.69072164948454,8.578504562151913,4278749,703656,144788
v2.6.18-rc2,253.72602333984955,41.73082163378947,8.586813577394704,4283149,704458,144954
v2.6.18-rc3,253.75078490610747,41.739055743143176,8.58716900657544,4283567,704597,144960
v2.6.18-rc4,253.7909139370965,41.75241367055618,8.590120239293965,4284752,704906,145027
v2.6.18-rc5,254.00088809946715,41.77921847246892,8.594256956779159,4290075,705651,145157
v2.6.18-rc6,254.04244612834478,41.78321098744968,8.59542978924935,4291285,705802,145194
v2.6.18-rc7,253.93958937340986,41.76746938051003,8.59227264658896,4291833,705912,145218
v2.6.18,253.95337829842623,41.7709146846527,8.592533427996687,4292320,706012,145231
v2.6.19-rc1,252.15516352597515,41.309009679821294,8.616701987513604,4402377,721214,150439
v2.6.19-rc2,252.53049442697915,41.40240068591026,8.627950843098027,4418021,724335,150946
v2.6.19-rc3,252.8114997713763,41.44587334247828,8.636659807956104,4423190,725137,151107
v2.6.19-rc4,252.84630772748056,41.45730452674897,8.638031550068588,4423799,725337,151131
v2.6.19-rc5,252.82462857142858,41.454057142857145,8.637885714285714,4424431,725446,151163
v2.6.19-rc6,252.82332438146392,41.45517399005771,8.638077824124336,4424661,725507,151175
v2.6.19,252.8070726691042,41.453439213893965,8.637168647166362,4425135,725601,151185
v2.6.20-rc1,252.95290609351264,41.39031114612052,8.668879761435885,4495732,735630,154072
v2.6.20-rc2,252.9437911438699,41.39762561188319,8.671467957013448,4495570,735760,154118
v2.6.20-rc3,252.9417623227549,41.39894215620077,8.671674544226875,4495281,735742,154113
v2.6.20-rc4,253.0379810938555,41.42009903218546,8.677526446094982,4496991,736118,154217
v2.6.20-rc5,253.05784379923475,41.42516317803286,8.678257933828494,4497344,736208,154230
v2.6.20-rc6,253.15987848784877,41.44261926192619,8.681143114311432,4500170,736684,154316
v2.6.20-rc7,253.16611351746639,41.44512572425044,8.681329808179107,4500534,736770,154328
v2.6.20,253.17342633740225,41.44748832761433,8.68200483771165,4500664,736812,154340
v2.6.21-rc1,253.9993341471535,41.525357895905,8.743480190877817,4577576,748370,157575
v2.6.21-rc2,253.96170047666556,41.504988360492185,8.746314155858553,4581977,748833,157801
v2.6.21-rc3,254.03265328750416,41.51635436301142,8.748530879254906,4582241,748872,157806
v2.6.21-rc4,254.01901857499305,41.50878846686997,8.747823676185195,4581233,748611,157767
v2.6.21-rc5,254.0680343775991,41.51804823953424,8.749875242583865,4582117,748778,157804
v2.6.21-rc6,254.10060451444735,41.5277022904997,8.75131717597471,4581688,748786,157795
v2.6.21-rc7,254.10720425933116,41.52925517164883,8.751428096056792,4581807,748814,157797
v2.6.21,254.11940546836004,41.53363651489102,8.752038156508236,4582027,748893,157808
v2.6.22-rc1,252.22092585622883,41.26463788375719,8.738803161460293,4691057,767481,162533
v2.6.22-rc2,252.20012901144977,41.26280707412783,8.739773154867494,4691679,767612,162586
v2.6.22-rc3,252.02223296278396,41.23199613339778,8.733204446592557,4692906,767781,162621
v2.6.22-rc4,251.96221554315156,41.2211249463289,8.731644482610562,4694560,768032,162688
v2.6.22-rc5,252.0636070853462,41.24090177133655,8.736553945249597,4695945,768318,162762
v2.6.22-rc6,252.0630132574741,41.24062047125758,8.736943803338521,4696186,768354,162778
v2.6.22-rc7,252.07369438033385,41.24287477859482,8.73737319521228,4696385,768396,162786
v2.6.22,252.07316549465887,41.24418916742713,8.737291319984969,4695871,768338,162767
v2.6.23-rc1,250.96296296296296,41.106402116402116,8.808042328042328,4743200,776911,166472
v2.6.23-rc2,252.47277967549104,41.32653714773698,8.849380871050384,4730330,774294,165802
v2.6.23-rc3,252.52295046968402,41.33763877028181,8.85140905209223,4731270,774502,165840
v2.6.23-rc4,252.46093916755603,41.3218249733191,8.849199573105656,4731118,774371,165834
v2.6.23-rc5,252.48420490928495,41.325667022411956,8.849893276414088,4731554,774443,165847
v2.6.23-rc6,252.492689434365,41.327801494130206,8.850266808964781,4731713,774483,165854
v2.6.23-rc7,253.03141305505272,41.40528165264615,8.848365456287935,4752436,777674,166190
v2.6.23-rc8,253.04808050689527,41.407007081625046,8.848783344869815,4752496,777665,166189
v2.6.23-rc9,253.05952824663223,41.409403120174645,8.84888983547202,4752711,777710,166191
v2.6.23,253.0474922798424,41.40884889788095,8.848578426152699,4752738,777741,166194
v2.6.24-rc1,255.19174240457025,41.68948325110361,8.976162035834848,4913717,802731,172836
v2.6.24-rc2,255.2215646576338,41.69039090484348,8.97814462960079,4916333,803082,172946
