tag,aNCSS,aCC,aFunctions,sNCSS,sCCN,sFunctions
1.0.0_cvs,275.42687255946043,61.21725239616613,7.370784522541711,1551755,344898,41527
1.1.0_cvs,265.10513219284604,58.6895800933126,7.00248833592535,1704626,377374,45026
1.1.5.1_cvs,265.5176453360668,57.95211597598477,6.969395226241031,1813220,395755,47594
2.0.5_cvs,231.85792755344417,52.59144893111639,6.19833729216152,1561795,354256,41752
2.0.5,228.01868340388265,51.64224200846592,6.088016347978398,1562156,353801,41709
2.0_cvs,232.70250201775625,53.398870056497174,6.183857949959645,1441592,330806,38309
2.0,225.87412587412587,51.65929419417792,5.731663685152057,1388900,317653,35244
2.1.0_cvs,235.70066420664207,53.25785977859778,6.245756457564576,1596872,360822,42315
2.1.0,231.7679837892604,52.262411347517734,6.136343899261832,1601285,361081,42396
2.1.5_cvs,232.14047308083008,52.439849078508196,6.120882310259759,1599680,361363,42179
2.1.5,230.3713520372198,51.896658677569434,6.075567460876921,1634024,368103,43094
2.1.6.1,230.7685405860087,52.01051451002383,6.078227954577317,1646072,370991,43356
2.1.6_cvs,232.53902755735103,52.553888327802625,6.12335882268071,1611728,364251,42441
2.1.6,230.30674330576196,51.883078648534976,6.07233982896397,1642778,370082,43314
2.1.7_cvs,232.61545101424255,52.597611854409436,6.123435476909797,1616910,365606,42564
2.1.7,230.82359519150125,52.04948280682136,6.077998322616718,1651312,372362,43482
2.2.0,232.20570639668662,50.988265071329955,6.071445006902899,2018332,443190,52773
2.2.1_cvs,233.84951626063645,51.35260519874111,6.117845902785873,2006195,440554,52485
2.2.1,232.20466827641715,50.967345061515466,6.068529377946418,2019484,443263,52778
2.2.2_cvs,233.42003006823177,51.205736093442816,6.098184341390078,2018383,442776,52731
2.2.2,231.7972618368511,50.82578436965203,6.049515116942384,2031703,445488,53024
2.2.5_cvs,228.7376708984375,50.57177734375,5.9893798828125,1873819,414284,49065
2.2.5,227.1391862955032,50.11563169164882,5.950630502022365,1909332,421272,50021
2.2.6,226.8523544421248,49.94444444444444,5.923335652980747,1955921,430621,51071
2.2.7_cvs,231.7324011571842,50.9814368370299,6.014705882352941,1922452,422942,49898
2.2.7,228.54928273947246,50.2686256362795,5.951411383618695,1975580,434522,51444
2.2.8_cvs,232.7097122302158,51.1878896882494,6.0378896882494,1940799,426907,50356
2.2.8,229.50253222836096,50.470073664825044,5.973987108655617,1993918,438484,51902
3.0.0_cvs,243.2880724710619,51.763764469048816,6.233517866129844,2417067,514273,61930
3.0.0,240.3306734137797,51.16514207862982,6.176235889451148,2469638,525773,63467
3.1.0_cvs,244.44276373572754,51.951888357568066,6.334146579486679,2504805,532351,64906
3.1.0,241.56030981392274,51.370548786247284,6.27590441107018,2557399,543860,66443
3.2.0_cvs,247.67103077674645,52.601270151441135,6.4309721543722524,2534913,538374,65821
3.2.0,244.5321083538549,51.9935593862474,6.363421102481531,2581770,548948,67185
3.3.0_cvs,249.8892015135345,52.64946153099835,6.443970117395945,2575608,542658,66418
3.3.0,246.74632906626505,52.06353539156626,6.378953313253012,2621433,553123,67770
3.4.0_cvs,250.83198322691317,52.8346516725436,6.4750786238444675,2631980,554394,67943
3.4.0,247.7155411655874,52.253376503237746,6.410268270120259,2677805,564859,69295
3.5.0_cvs,253.35841339294208,53.15200228288786,6.508798630267288,2663557,558787,68427
3.5.0,250.17377654662974,52.56251154201293,6.4431209602954755,2709382,569252,69779
4.0.0_cvs,260.60728465389263,54.5293457621267,6.686431900569653,3019396,631777,77469
4.0.0,247.34015325670498,51.619770114942526,6.433716475095785,3227789,673638,83960
4.10.0_cvs,282.0650752622776,57.144138665044856,7.013455982970959,3710284,751674,92255
4.10.0,266.5694407981097,53.98661065896561,6.754397479653452,4061452,822540,102910
4.1.0_cvs,266.1261572125905,55.90026931493015,6.803400100993099,3162111,664207,80838
4.1.0,252.21789127837516,52.827508960573475,6.555480884109916,3377702,707466,87791
4.11.0_cvs,283.2837837837838,57.271560886729425,7.028469480716672,3731414,754381,92579
4.11.0,267.25315043318454,54.0145707534786,6.764111315305855,4071869,822966,103058
4.1.1_cvs,266.86941264934416,56.00618263848275,6.800902331021806,3194160,670338,81400
4.1.1,253.0257358378938,52.942464132524776,6.565892619434995,3421414,715888,88784
4.2.0_cvs,268.29246071547976,56.142260113674354,6.824557004346373,3209851,671686,81649
4.2.0,254.1199734376153,53.03652327897883,6.592046041466834,3444088,718804,89342
4.3.0_cvs,269.11989394316015,56.23117076808352,6.846963294390587,3248008,678654,82636
4.3.0,254.86428986349114,53.054966598896314,6.614652918966018,3509991,730673,91097
4.4.0_cvs,271.06628618018755,56.51740725642071,6.910069302894415,3324628,693186,84752
4.4.0,256.84177758694716,53.34800343495062,6.673751252325748,3589107,745485,93259
4.5.0_cvs,272.8814203672248,56.55310199789695,6.91959880287956,3373633,699166,85547
4.5.0,258.3188457175269,53.36060692002269,6.680516165626773,3643329,752598,94222
4.6.0_cvs,274.1382444391294,56.669457067687155,6.9161285178984295,3438516,710805,86749
4.6.0,258.83877919911015,53.40058398220245,6.657327586206897,3723137,768114,95759
4.6.1,257.55554789800135,53.09793246037216,6.625982081323225,3737131,770451,96143
4.6.2_cvs,273.86143665789683,56.639241010922426,6.906083074224667,3435044,710426,86623
4.6.2,258.11983128198034,53.240630618171764,6.635942469921173,3732929,769966,95969
4.7.0_cvs,276.4352653961254,57.20318160340211,6.975507954008505,3510175,726366,88575
4.7.0,261.2390650628759,53.937192454893385,6.701612903225806,3822450,789209,98058
4.8.0_cvs,277.8970358814353,57.373478939157565,7.007176287051482,3562640,735528,89832
4.8.0,262.5825112408563,54.09529561774377,6.742299174552043,3912742,806074,100467
4.9.0_cvs,279.1377071717712,57.09615825250134,7.000763766898342,3654750,747560,91661
4.9.0,263.94537067545303,53.92059308072488,6.741878088962109,4005371,818245,102308
5.0.0_cvs,273.08935208804024,54.44676044020115,7.210990452590919,3747059,747064,98942
5.0.0,259.95472327326365,51.93824151863016,6.949143846597832,4053474,809873,108358
5.1.0_cvs,270.3401162790698,53.79339194554736,7.1632870107770845,3812877,758702,101031
5.1.0,260.96579835679256,52.03324629004522,6.995605375453793,4097424,816974,109838
5.2.0_cvs,275.0467142269173,54.41994786664837,7.291809576073535,4009631,793334,106300
5.2.0,265.1283114632335,52.525934637286454,7.102005446892795,4283413,848609,114740
5.2.1_cvs,275.0640691452874,54.42440664014268,7.29215255865002,4009884,793399,106305
5.2.1,265.1439712800198,52.52995791037385,7.10231492943798,4283666,848674,114745
5.3.0_cvs,268.9423708920188,52.959976525821595,7.262147887323944,4582778,902438,123747
5.3.0,270.0261218232207,53.18644967274014,7.29011144525031,4579373,901989,123633
5.4.0_cvs,269.2418346479696,52.99789658194566,7.268653228162431,4608074,907059,124403
5.4.0,270.25154058336756,53.2096954046599,7.294911673220259,4604816,906640,124298
5.5.0_cvs,271.40858774178514,53.20939175017478,7.2886856210673505,4658457,913286,125103
5.5.0,272.3932124049152,53.4152720889409,7.314101813926273,4655200,912867,124998
6.0.0_cvs,266.59084029373844,52.30175458265598,7.288861483267,4755714,933011,130026
6.0.0,268.0331566482463,52.59292883726176,7.325532874703958,4753300,932683,129911
6.1.0_cvs,269.1181737292848,52.551662773885,7.34178623067512,4839283,944984,132020
6.1.0,270.57626265451086,52.84456625090889,7.379048045192684,4837633,944808,131930
6.2.0_cvs,269.11655737704916,52.41535519125683,7.337377049180328,4924833,959201,134274
6.2.0,270.5593602286468,52.70358359898868,7.373419808728152,4922557,958889,134152
6.3.0_cvs,271.07951598962836,52.727095937770095,7.39390665514261,5018224,976084,136876
6.3.0,272.49961973055196,53.011082138200784,7.42948717948718,5016173,975828,136762
6.4.0_cvs,270.8183226495726,52.54855769230769,7.379166666666666,5069719,983709,138138
6.4.0,272.2477167723219,52.83404964005587,7.415063930374987,5067619,983453,138024
7.0.0_cvs,272.4856901939388,52.43752790040177,7.545260651753385,5493584,1057193,152120
7.0.0,274.0488644871475,52.747441976541054,7.58682305964562,5490569,1056795,152002
7.1.0_cvs,273.85789882512864,52.49660161180697,7.57588115351005,5640925,1081325,156048
7.1.0,275.33543407103423,52.78499193902975,7.617323757877767,5635841,1080456,155919
