tag,aNCSS,aCC,aFunctions,sNCSS,sCCN,sFunctions
llvmorg-1.0.0,112.13725490196079,30.475113122171944,9.71945701357466,74347,20205,6444
llvmorg-1.1.0,113.33286318758815,30.07898448519041,9.433004231311706,80353,21326,6688
llvmorg-1.2.0,158.01593137254903,39.807598039215684,9.903186274509803,128941,32483,8081
llvmorg-1.3.0,166.29017341040463,42.36878612716763,10.507514450867053,143841,36649,9089
llvmorg-1.4.0,133.31882480957563,36.57562568008705,9.969532100108815,122520,33613,9162
llvmorg-1.5.0,164.9495990836197,46.42038946162658,11.306987399770906,144001,40525,9871
llvmorg-1.6.0,174.52850877192984,47.79385964912281,11.401315789473685,159170,43588,10398
llvmorg-1.9.0,184.15494505494505,51.25824175824176,12.247252747252746,167581,46645,11145
llvmorg-2.0.0,185.99274611398963,53.12538860103627,12.483937823834196,179483,51266,12047
llvmorg-2.1.0,190.28322017458777,54.15712900096993,12.49854510184287,196182,55836,12886
llvmorg-2.2.0,193.09904430929626,55.07645525629887,12.902693310165073,222257,63393,14851
llvmorg-2.3.0,193.3180682764363,55.304746044962535,13.029975020815987,232175,66421,15649
llvmorg-2.4.0,194.47215865751335,55.22730739893211,12.94279176201373,254953,72403,16968
llvmorg-2.5.0,206.41625089094796,56.8888096935139,13.48823948681397,289602,79815,18924
llvmorg-2.6.0,161.79620563035496,41.64993880048959,11.850061199510403,528750,136112,38726
llvmorg-2.7.0,152.67179980750723,38.95572666025024,11.34744947064485,634504,161900,47160
llvmorg-2.8.0-rc0,153.88972746331237,39.0272536687631,11.494968553459119,734054,186160,54831
llvmorg-2.8.0-rc1,153.8344509639564,39.013202011735125,11.490779547359598,734098,186171,54834
llvmorg-2.8.0-rc2,153.85834031852474,39.024098910310144,11.49140821458508,734212,186223,54837
llvmorg-2.8.0-rc3,153.85771165129924,39.02388935456832,11.49140821458508,734209,186222,54837
llvmorg-2.8.0,153.85771165129924,39.02388935456832,11.49140821458508,734209,186222,54837
llvmorg-2.9.0-rc1,155.744025998853,39.720321162301666,11.552666794112024,814697,207777,60432
llvmorg-2.9.0-rc2,155.75597171794382,39.72444104720046,11.550353525702274,815071,207878,60443
