tag,aNCSS,aCC,aFunctions,sNCSS,sCCN,sFunctions
0.1.99e,168.08588957055215,23.392638036809817,4.742331288343558,27398,3813,773
0.2.70,195.91525423728814,23.58050847457627,5.1991525423728815,46236,5565,1227
0.2.72,198.13389121338912,24.13807531380753,5.2426778242677825,47354,5769,1253
0.2.73,198.81893004115227,24.300411522633745,5.255144032921811,48313,5905,1277
0.2.81,196.11073825503357,22.140939597315437,4.761744966442953,58441,6598,1419
0.2.83,197.34653465346534,22.541254125412543,4.798679867986799,59796,6830,1454
0.2.91,206.11182108626198,22.89776357827476,5.105431309904153,64513,7167,1598
0.2.92,206.39306358381504,24.38150289017341,5.23121387283237,71412,8436,1810
0.3.0,192.39943342776203,22.20113314447592,5.260623229461756,67917,7837,1857
0.3.1,193.0113314447592,22.257790368271955,5.252124645892351,68133,7857,1854
0.4.0,198.9612188365651,23.71191135734072,5.393351800554017,71825,8560,1947
0.4.1,199.67127071823205,23.845303867403317,5.406077348066298,72281,8632,1957
0.4.2,199.67127071823205,23.845303867403317,5.406077348066298,72281,8632,1957
0.4.3,199.5879120879121,23.892857142857142,5.461538461538462,72650,8697,1988
0.4.4,199.5879120879121,23.892857142857142,5.461538461538462,72650,8697,1988
0.4.5,199.6790450928382,24.135278514588858,5.514588859416445,75279,9099,2079
0.4.6.1,207.9946949602122,25.73740053050398,5.827586206896552,78414,9703,2197
0.4.6,199.81167108753317,24.156498673740053,5.517241379310345,75329,9107,2080
0.5.0,224.97175141242937,30.24105461393597,5.854990583804143,119460,16058,3109
0.5.1,226.37078651685394,30.55805243445693,5.911985018726591,120882,16318,3157
0.5.2,234.47445255474452,31.12773722627737,5.91970802919708,128492,17058,3244
0.5.3,229.57910906298002,31.019969278033795,5.978494623655914,149456,20194,3892
0.6.0,233.6761768901569,32.490727532097004,6.1255349500713265,163807,22776,4294
0.6.1,241.57887120115774,33.85672937771346,6.151953690303907,166931,23395,4251
0.6.2,244.4920174165457,34.619738751814225,6.1756168359941945,168455,23853,4255
0.7.0,259.07462686567163,38.8910447761194,6.632835820895522,173580,26057,4444
0.7.1,226.17795637198623,34.36165327210103,6.2835820895522385,197001,29929,5473
0.7.2,231.55701754385964,35.71052631578947,6.470394736842105,211180,32568,5901
0.8.0,245.83792723263505,38.512679162072764,6.693495038588754,222975,34931,6071
0.8.1,246.18151815181517,38.605060506050606,6.701870187018702,223779,35092,6092
0.8.2,262.3302845528455,42.011178861788615,7.389227642276423,258133,41339,7271
0.8.4,273.2224409448819,45.02657480314961,7.905511811023622,277594,45747,8032
0.9.0-test0,190.37696335078533,31.047120418848166,5.84578772013327,399982,65230,12282
0.9.0-test1,190.75237642585552,31.169201520912548,5.864068441064639,401343,65580,12338
0.9.0-test2,190.8647619047619,31.172857142857143,5.8742857142857146,400816,65463,12336
0.9.0-test3,191.1704761904762,31.222380952380952,5.9019047619047615,401458,65567,12394
0.9.0,191.79247977153736,31.379343169919085,5.92574964302713,402956,65928,12450
1.0.0-pre1,190.74331797235024,31.23824884792627,5.94147465437788,413913,67787,12893
1.0.0-pre2,189.25650387950708,30.99361022364217,5.8963943404837975,414661,67907,12919
1.0.0-rc1,189.7057745187901,31.142988084326305,5.895508707607699,413938,67954,12864
1.1.0-ff,183.17812644208584,30.32071988924781,5.88232579603138,396947,65705,12747
1.1.0-pre1,183.20073664825046,30.32412523020258,5.916206261510129,397912,65864,12850
1.2.0-pre1,174.35974304068523,29.092077087794433,5.794860813704497,407130,67930,13531
1.3.0-git,174.91467576791808,29.289675767918087,5.819112627986348,410000,68655,13640
2.1.0-git,231.91942028985508,39.91768115942029,7.950144927536232,400061,68858,13714
2.2.0-git,235.62333333333333,40.986111111111114,8.082222222222223,424122,73775,14548
3.0.0-1,234.96525821596245,41.92112676056338,8.248356807511737,500476,89292,17569
3.0.0.1,234.96525821596245,41.92112676056338,8.248356807511737,500476,89292,17569
3.0.0-2,234.96478873239437,41.92159624413146,8.248356807511737,500475,89293,17569
3.0.0-git,233.89097744360902,41.630169172932334,8.216165413533835,497720,88589,17484
3.0.0-rc1,234.12494128698918,41.694222639736964,8.224048849224989,498452,88767,17509
3.0.0-rc2,234.15695488721803,41.722274436090224,8.223684210526315,498286,88785,17500
3.0.0-rc3,234.06716768435885,41.71254109910756,8.220760920620009,498329,88806,17502
3.0.0-rc4,234.07937999060593,41.71301080319399,8.22170032879286,498355,88807,17504
3.0.0-rc5,234.2165335838422,41.73320807891029,8.22170032879286,498647,88850,17504
3.0.0-rc6,234.44340065758573,41.791451385627056,8.230155002348521,499130,88974,17522
3.0.0-rc7,234.4619718309859,41.79530516431925,8.229577464788733,499404,89024,17529
3.0.0-rc8,234.60892018779342,41.83943661971831,8.236150234741784,499717,89118,17543
3.0.0,234.96244131455398,41.92065727699531,8.248356807511737,500470,89291,17569
3.0.10,236.67407407407407,42.39861111111111,8.32824074074074,511216,91581,17989
3.0.11.1,236.63522884882107,42.39019879796579,8.32778548312529,511842,91690,18013
3.0.11,236.50046253469012,42.369565217391305,8.321924144310824,511314,91603,17992
3.0.12-1,236.35816091954024,42.34068965517241,8.32183908045977,514079,92091,18100
3.0.12.1,236.35816091954024,42.34068965517241,8.32183908045977,514079,92091,18100
3.0.12,236.35816091954024,42.34068965517241,8.32183908045977,514079,92091,18100
3.0.13,236.40579044117646,42.3561580882353,8.320772058823529,514419,92167,18106
3.0.14,236.41452205882354,42.357536764705884,8.321691176470589,514438,92170,18108
3.0.15,236.4034926470588,42.357077205882355,8.321691176470589,514414,92169,18108
3.0.16,236.30225080385853,42.33670188332568,8.317868626550299,514430,92167,18108
3.0.17-1,235.89581437670608,42.22975432211101,8.319836214740674,518499,92821,18287
3.0.17.2,235.91992720655142,42.23657870791629,8.320291173794358,518552,92836,18288
3.0.17.3,235.92174704276616,42.23657870791629,8.320291173794358,518556,92836,18288
3.0.17.4,235.92174704276616,42.23657870791629,8.320291173794358,518556,92836,18288
3.0.17,235.89581437670608,42.22975432211101,8.319836214740674,518499,92821,18287
3.0.18-rc2,236.76748410535876,42.34786557674841,8.354677565849228,521362,93250,18397
3.0.18-rc,236.71980018165306,42.33832879200727,8.352406902815622,521257,93229,18392
3.0.18,236.7506811989101,42.34423251589464,8.354223433242506,521325,93242,18396
3.0.1,235.34976525821597,42.02488262910798,8.25962441314554,501295,89513,17593
3.0.2,235.77132146204312,42.106373008434865,8.268978444236176,503136,89855,17646
3.0.3-1,235.9165885660731,42.14386129334583,8.272258669165886,503446,89935,17653
3.0.3,235.91565135895033,42.14339268978444,8.272258669165886,503444,89934,17653
3.0.4,236.4343339587242,42.23780487804878,8.292213883677299,504078,90051,17679
3.0.5-1,236.2861136999068,42.229263746505126,8.288443616029824,507070,90624,17787
3.0.5-2,236.2875116495806,42.229729729729726,8.288443616029824,507073,90625,17787
3.0.5,236.2861136999068,42.229263746505126,8.288443616029824,507070,90624,17787
3.0.6,236.30521901211557,42.229729729729726,8.288909599254428,507111,90625,17788
3.0.7.1-1,236.4627213420317,42.26747437092265,8.292171481826655,507449,90706,17795
3.0.7.1,236.4627213420317,42.26747437092265,8.292171481826655,507449,90706,17795
3.0.7,236.45386766076422,42.26421248835042,8.292171481826655,507430,90699,17795
3.0.8,236.5838769804287,42.30475302889096,8.30102516309413,507709,90786,17814
3.0.9.1,236.67453703703703,42.39861111111111,8.32824074074074,511217,91581,17989
3.0.9.2,236.67453703703703,42.39861111111111,8.32824074074074,511217,91581,17989
3.0.9,236.67407407407407,42.39861111111111,8.32824074074074,511216,91581,17989
4.0.0-dev,233.89097744360902,41.630169172932334,8.216165413533835,497720,88589,17484
4.0-dev,233.89097744360902,41.630169172932334,8.216165413533835,497720,88589,17484
